시장명,최종주소,X,Y,store_num,Bus_st_num,Ur_rail_nu,Bus_te_num,spot_num_3,univ_num_1,ur_park_num,Cul_hall_n,Mart_num_1,parking_num,parking_car_num,stor_cnt,residnt_cnt_sum,mkt_cnt_sum,stor_cnt_sum,person_mkt_cnt,매출액
평화시장,서울특별시 중구 청계천로 274,127.0080497,37.5694251,2265,88,12,0,0,0,0,3,1,5,143,2003,125505,62,21039,6,27.56545724
후암시장,서울특별시 용산구 한강대로 104길 77,126.9765024,37.5502881,53,94,5,0,0,0,0,4,1,1,39,40,230151,13,960,240,27.4934618
성서보성화성상가,대구광역시 달서구 계대동문로 99,128.5030811,35.8562058,33,113,1,0,0,0,0,1,1,5,268,10,560354,70,5484,102,27.38515795
삼천포종합시장,경상남도 사천시 동금2길 15,128.0784962,34.9321318,187,0,0,0,0,0,0,1,1,0,0,154,111234,8,1113,100,27.18854661
삼천포중앙시장,경상남도 사천시 중앙시장2길 37,128.0766979,34.9288786,209,0,0,0,0,0,0,1,1,0,0,290,111234,8,1113,100,27.18854661
team204,서울특별시 중구 신당동 204-48 외 3필지,127.0132115,37.5677204,100,98,11,0,0,0,0,2,1,4,207,0,125505,62,21039,6,27.11124089
경동광성상가,서울특별시 동대문구 고산자로 464,127.0387943,37.5809154,82,93,4,0,0,0,0,2,1,5,365,86,343377,38,5801,59,27.01825561
서울약령시장,서울특별시 동대문구 약령중앙로26,127.0373613,37.5805343,1007,90,5,0,0,0,0,2,1,5,365,1004,343377,38,5801,59,27.01825561
청량리농수산물시장,서울특별시 동대문구 경동시장로 21,127.0403905,37.5809284,122,92,4,0,0,0,0,2,1,5,365,122,343377,38,5801,59,27.01825561
자유상가,서울특별시 중구 남대문로 36(회현동1가),126.9797527,37.5609124,451,124,6,0,0,1,0,2,1,5,109,98,125505,62,21039,6,27.00656678
남평화시장,서울특별시 중구 장충단로 282-10(신당동),127.0108378,37.5691692,770,97,10,0,0,0,0,2,1,4,135,520,125505,62,21039,6,26.99856678
