관광지명,소재지지번주소,위도,경도,면적
합천박물관,경상남도 합천군 쌍책면 성산리 504,35.58042271,128.2829423,10627
황매산군립공원,경상남도 합천군 가회면 둔내리 1319,35.48184913,128.0037495,2600000
영상테마파크&청와대세트장,경상남도 합천군 용주면 가호리 418,35.54877253,128.0728984,75734
합천댐 물문화관,경상남도 합천군 대병면 회양리 1603-1,35.531585,128.0295197,756
황계폭포,경상남도 합천군 용주면 황계리 산156,35.51135706,128.071173,11804
정양레포츠공원,경상남도 합천군 대양면 정양리 101-18,35.55690191,128.1668052,10708
변산해수욕장,전라북도 부안군 변산면 대항리 523-117,35.67999179,126.5309105,0
위도해수욕장,전라북도 부안군 위도면 진리 545,35.60583098,126.2853294,0
모항해수욕장,전라북도 부안군 변산면 도청리 165,35.5831428,126.5082098,0
경산온천,경상북도 경산시 남산면 상대리 528,35.78037855,128.7922287,262060
좌구산휴양랜드,충청북도 증평군 증평읍 율리 산 61-1,36.70556821,127.6511216,730000
좌구산 천문대,충청북도 증평군 증평읍 율리 산 61-1,36.70556821,127.6511216,892
팔당물안개공원,경기도 광주시 남종면 귀여리 596,37.51045866,127.3142486,708241
중대물빛공원,경기도 광주시 중대동 229,37.40272258,127.218054,216372
산청전통한방휴양관광지,경상남도 산청군 금서면 특리 1300-86,35.44106575,127.8293609,294998
산청중산관광지,경상남도 산청군 시천면 중산리 519,35.29329703,127.7549296,292515
산청금서관광지,경상남도 산청군 금서면 지막리 산12,35.394237,127.847052,194800
명승 거창 수승대,경상남도 거창군 위천면 황산리 750-3,35.760923,127.8336763,297679
가조온천,경상남도 거창군 가조면 일부리 1301,35.69875771,128.0231044,230673.6
예안현,안동시 도산면 서부리 201,36.6993162,128.8149089,50633
하회관광지,안동시 풍천면 하회리 287,36.5489594,128.5274931,184000
안동문화관광지,안동시 성곡동 1559,36.5695076,128.7786154,1655181.2
경천대관광지,경상북도 상주시 사벌면 삼덕리 1-13,36.45722382,128.2478641,209000
광양 옥룡사지,전라남도 광양시 옥룡면 추산리 산 35-1,35.044509,127.606171,136502
국사봉랜드,전라남도 광양시 옥곡면 수평리 130,35.00642478,127.6525399,10029
기독교선교100주년기념관,전라남도 광양시 진상면 황죽리 1395,35.04305027,127.6604508,2269
섬진강 망덕포구,전라남도 광양시 진월면 망덕리 845-82,34.96787088,127.7579265,10029
윤동주 유고 보존 정병욱 가옥,전라남도 광양시 진월면 망덕리 23,34.97075423,127.759122,254
남한산성,경기도 광주시 남한산성면 산성리 158-1,37.47669636,127.1884165,526476
분원백자자료관,경기도 광주시 남종면 분원리 산5,37.49625742,127.3034492,3339
천진암,경기도 광주시 퇴촌면 우산리 500,37.42357313,127.3883989,990000
경기도자박물관,경기도 광주시 곤지암읍 삼리 72-1,37.35028421,127.3347877,3328
경안천습지생태공원,경기도 광주시 퇴촌면 정지리 456-4,37.45920014,127.3051169,162000
침산정,대구광역시 북구 침산동 1168-3,35.897221,128.5848591,291080
협재관광지,제주특별자치도 제주시 한림읍 협재리 2450,33.3935073,126.2384709,214300
곽지관광지,제주특별자치도 제주시 애월읍 곽지리 1566,33.4499564,126.3041171,235020
김녕관광지,제주특별자치도 제주시 구좌읍 김녕리 497-5,33.5548971,126.7656156,161324
절물자연휴양림,,33.44004881,126.6252034,3000000
노루생태관찰원,,33.4443253,126.6266934,520000
제주별빛누리공원,제주특별자치도 제주시 오등동 10-34,33.4445529,126.5491863,33637
태조산관광지,,36.82207666,127.1889559,331000
최참판댁,경상남도 하동군 악양면 평사리 483,35.15590905,127.688408,9529
화개장터,경상남도 하동군 화개면 탑리 726-46,35.18798946,127.6240666,8226
삼성궁,경상남도 하동군 청암면 묵계리 1738-3,35.23870093,127.7054288,43967
하동야생차박물관,경상남도 하동군 화개면 운수리 664,35.22773215,127.6426921,2363
용문산 관광지,경기도 양평군 용문면 신점리 515-2,37.54529617,127.583066,382233
두물머리,경기도 양평군 양서면 양수리 697,,,400000
세미원,경기도 양평군 양서면 용담리 428-8,37.54093866,127.3239608,127085
쉬자파크,경기도 양평군 양평읍 백안리 산45-2,37.51122354,127.5331978,186504
빛가람호수공원전망대,전라남도 나주시 빛가람동 산4-321,35.0152195,126.7811718,24000
노을이물드는언덕,경상남도 거제시 사등면 창호리 1475,34.954418,128.519516,3974
가조수협효시공원,경상남도 거제시 사등면 창호리 2080,34.92951709,128.5251418,3141
율포해수욕장,전라남도 보성군 회천면 동율리 678,34.6700298,127.0890226,34625
김포평화누리길 1코스,경기도 김포시 대곶면 대명리 561(대명항),37.6596942,126.5590043,15000
김포평화누리길 2코스,경기도 김포시 월곶면 성동리 산49(문수산성),37.7429948,126.5467533,15000
김해낙동강레일파크,경상남도 김해시 생림면 마사리 654-4,35.37177644,128.8208387,313.87
가야랜드,경상남도 김해시 삼방동 1391-2,35.25817158,128.9024348,1352.91
김해천문대,경상남도 김해시 어방동 산2-80,35.25306424,128.887298,6600
롯데워터파크,경상남도 김해시 신문동 1417,35.17891121,128.8285605,122397.27
클레이아크,경상남도 김해시 진례면 송정리 358,35.25086479,128.7447968,41952
김해한옥체험관,경상남도 김해시 봉황동 425-13,35.23436297,128.8766847,4132
국립김해박물관,경상남도 김해시 구산동 232,35.24353009,128.8725848,16783.83
노무현대통령생가,경상남도 김해시 진영읍 본산리 36,35.31448783,128.7701595,305
수로왕릉,경상남도 김해시 서상동 312,35.23487875,128.8772054,49488
부경동물원,경상남도 김해시 유하동 88,35.2203238,128.8197957,250
도림사,전라남도 곡성군 곡성읍 월봉리 327,35.26727743,127.2575047,242.55
섬진강 기차마을,전라남도 곡성군 오곡면 오지리 770-5,35.27753157,127.3082867,218369
장계관광지,충청북도 옥천군 안내면 장계리 산 7-1,36.37728877,127.6356203,198705
천안종합휴양관광지,,36.75731215,127.2240961,748020
임경대,경상남도 양산시 원동면 화제리 산72-4,35.32243455,128.9778074,6755
양산시립박물관,경상남도 양산시 북정동 678,35.35849531,129.0490358,13063
온달관광지,충청북도 단양군 영춘면 하리 147,37.06295564,128.4929221,97567
천동관광지,충청북도 단양군 단양읍 천동리 201,36.97401141,128.4165952,26594
다리안관광지,충청북도 단양군 단양읍 천동리 409,36.9647819,128.4207808,153835
국립나주박물관,전라남도 나주시 신촌리 152-25,34.9144962,126.6574509,11086
영산포 역사갤러리,전라남도 나주시 영산동 247-2,35.0006914,126.7093485,281
나주복암리고분전시관,전라남도 나주시 다시면 복암리 71,34.9961663,126.6538838,42211
일본인근대가옥,전라남도 나주시 영산동 660,35.0009356,126.7112913,226
안면도 관광지(꽃지지구),충청남도 태안군 안면읍 승언리 339-586,36.502545,126.335955,2941735
꽃보라동산,대구광역시 북구 산격동 1500-6,35.889576,128.601059,10000
운암지수변공원,대구광역시 북구 구암동 349,35.932633,128.567671,17962
팔달대교 야경,대구광역시 북구 팔달동 524-4,35.895353,128.550766,10000
금호강하중도,대구광역시 북구 노곡동 673,35.900092,128.559326,223000
경북대학교 캠퍼스,대구광역시 북구 산격동 1370-1,35.88909849,128.6143217,1317639
함지공원,대구광역시 북구 구암동 775-6,35.9424608,128.570482,44385
구암서원,대구광역시 북구 산격동 산79-1,35.89881592,128.5989989,65000
