역번호,역사명,노선번호,노선명,역위도(y좌표),역경도(x좌표),역사도로명주소
214,선정릉역,k0304,분당선,37.510275,127.043817,서울시 강남구 선릉로 지하 580(삼성동)
4127,선정릉,S1109,서울 도시철도 9호선,37.51085355,127.043641,서울특별시 강남구 선릉로 지하 580
4130,종합운동장,S1109,서울 도시철도 9호선,37.51096913,127.0733558,서울특별시 송파구 올림픽로 지하 23
218,종합운동장,S1102,서울 도시철도 2호선,37.51106095,127.073542,서울특별시 송파구 올림픽로 지하 23 (잠실동)
2734,논현,S1107,서울 도시철도 7호선,37.51118691,127.0212831,서울특별시 강남구 학동로 지하102(논현동)
217,잠실새내,S1102,서울 도시철도 2호선,37.51141143,127.0860068,서울특별시 송파구 올림픽로 지하 140 (잠실동)
134,신천,S2701,대구 도시철도 1호선,37.511624,127.083391,대구광역시 동구 동부로 지하41 (신천동)
248,양천구청,S1102,서울 도시철도 2호선,37.51205148,126.8656075,서울특별시 양천구 목동로3길 지하 33(신정동)
328,잠원,S1103,서울 도시철도 3호선,37.51282982,127.0112442,서울특별시 서초구 잠원로 4길 지하 46 (잠원동)
4128,삼성중앙,S1109,서울 도시철도 9호선,37.51288248,127.052705,서울특별시 강남구 봉은사로 지하 501
137,대방역,k0201,경부선,37.513392,126.926407,서울시 영등포구 여의대방로 300
216,잠실,S1102,서울 도시철도 2호선,37.51376934,127.1021882,서울특별시 송파구 올림픽로 지하 265 (잠실동)
2815,잠실,S1108,서울 도시철도 8호선,37.51386481,127.1024965,서울특별시 송파구 올림픽로 지하 265 (잠실동)
133,아신역,k0212,경의중앙선,37.513954,127.443238,경기도 양평군 옥천면 아신역길 1길 23-3
136,노량진역,k0201,경부선,37.514072,126.941671,서울시 동작구 노량진로 151
247,도림천,S1102,서울 도시철도 2호선,37.51420522,126.8827022,서울특별시 구로구 경인로 67길 160 (신도림동)
2733,학동,S1107,서울 도시철도 7호선,37.51428621,127.0317362,서울특별시 강남구 학동로 지하180(논현동)
4129,봉은사,S1109,서울 도시철도 9호선,37.51436096,127.0608922,서울특별시 강남구 봉은사로 지하 601
139,영등포역,k0201,경부선,37.515756,126.907411,서울시 영등포구 경인로 846(영등포동 1가 618-496)
4136,올림픽공원,S1109,서울 도시철도 9호선,37.51608795,127.1306004,서울특별시 송파구 양재대로 1233
132,국수역,k0212,경의중앙선,37.516171,127.399402,경기도 양평군 양서면 국수역길 45
327,신사,S1103,서울 도시철도 3호선,37.51618776,127.020092,서울특별시 강남구 도산대로 지하 102 (신사동)
2556,올림픽공원,S1105,서울 도시철도 5호선,37.51620079,127.1308803,서울특별시 송파구 양재대로 지하1233
4135,한성백제,S1109,서울 도시철도 9호선,37.51686537,127.118185,서울특별시 송파구 위례성대로 51
138,신길역,k0201,경부선,37.517018,126.917743,서울시 영등포구 영등포로 327
3117,갈산,S2801,인천지하철 1호선,37.517124,126.721566,인천광역시 부평구 부평대로 286
2732,강남구청,S1107,서울 도시철도 7호선,37.51714842,127.0411628,서울특별시 강남구 학동로 지하346 (삼성동)
213,강남구청역,k0304,분당선,37.517172,127.041275,서울시 강남구 학동로 지하 364
2814,몽촌토성,S1108,서울 도시철도 8호선,37.51742473,127.1123921,서울특별시 송파구 올림픽로 지하383
2526,신길,S1105,서울 도시철도 5호선,37.51742655,126.916543,서울특별시 영등포구 경인로114가길 지하9 (영등포동1가)
3212,가정중앙시장,S2802,인천지하철 2호선,37.517511,126.676784,인천광역시 서구 가남로 400 (가정동)
235,문래,S1102,서울 도시철도 2호선,37.51779736,126.8945439,서울특별시 영등포구 당산로 지하 28 (문래동3가)
4137,둔촌오륜,S1109,서울 도시철도 9호선,37.51797547,127.1401702,서울특별시 송파구 강동대로 327
2731,청담,S1107,서울 도시철도 7호선,37.5195959,127.0537514,서울특별시 강남구 학동로 지하508 (청담동)
112,서빙고역,k0203,경의중앙선,37.51961,126.988358,서울시 용산구 서빙고로 238(서빙고동 241-11)
249,신정네거리,S1102,서울 도시철도 2호선,37.51999688,126.8528986,서울특별시 양천구 중앙로 지하 261 (신정동)
215,잠실나루,S1102,서울 도시철도 2호선,37.52054808,127.1036977,서울특별시 송파구 오금로 20 (신천동)
2527,여의도,S1105,서울 도시철도 5호선,37.52165166,126.9242291,서울특별시 영등포구 여의나루로 지하40 (여의도동)
430,이촌,S1104,서울 도시철도 4호선,37.52234094,126.9741382,서울특별시 용산구 용산동5가 17
111,이촌역,k0205,경의중앙선,37.522476,126.973816,서울시 용산구 이촌로 71길 42
2525,영등포시장,S1105,서울 도시철도 5호선,37.52274531,126.9047596,서울특별시 영등포구 양산로 지하200 (영등포동5가)
2522,오목교,S1105,서울 도시철도 5호선,37.52436614,126.8750582,서울특별시 양천구 오목로 지하342 (목동)
3211,가정(루원시티),S2802,인천지하철 2호선,37.524805,126.675387,인천광역시 서구 봉오대로 234 (가정동)
2520,신정,S1105,서울 도시철도 5호선,37.52501081,126.8562294,서울특별시 양천구 오목로 지하179 (신정동)
236,영등포구청,S1102,서울 도시철도 2호선,37.52524847,126.8958333,서울특별시 영등포구 당산로 지하 121 (당산동3가)
2524,영등포구청,S1105,서울 도시철도 5호선,37.52524847,126.8958333,서울특별시 영등포구 당산로 지하 121 (당산동3가)
2523,양평,S1105,서울 도시철도 5호선,37.52558457,126.8862032,서울특별시 영등포구 양산로 지하21(양평동2가)
2521,목동,S1105,서울 도시철도 5호선,37.52586671,126.8645757,서울특별시 양천구 오목로 지하245 (목동)
131,신원역,k0212,경의중앙선,37.525921,127.372745,경기도 양평군 양서면 신원역길 5-3
326,압구정,S1103,서울 도시철도 3호선,37.52668639,127.0283697,서울특별시 강남구 압구정로 지하 172 (신사동)
2528,여의나루,S1105,서울 도시철도 5호선,37.52707204,126.9328665,서울특별시 영등포구 여의동로 지하343 (여의도동)
212,압구정로데오역,k0304,분당선,37.527385,127.040555,서울시 강남구 압구정동 495(강남구 압구정로 지하 402)
2555,둔촌동,S1105,서울 도시철도 5호선,37.52774726,127.136296,서울특별시 강동구 양재대로 지하1369 (둔촌동)
429,신용산,S1104,서울 도시철도 4호선,37.5292129,126.9677003,서울특별시 용산구 한강대로 지하 112 (한강로2가)
113,한남역,k0205,경의중앙선,37.529361,127.008984,서울시 용산구 독서당로6길 12-13(한남동)
4138,중앙보훈병원,S1109,서울 도시철도 9호선,37.52961418,127.142757,서울특별시 강동구 명일로 117
135,용산역,k0201,경부선,37.52989,126.964775,서울시 용산구 한강대로 23길 55(한강로 3가 40-999)
3116,작전,S2801,인천지하철 1호선,37.530271,126.722548,인천광역시 계양구 게양대로 73
2813,강동구청,S1108,서울 도시철도 8호선,37.53047081,127.1202691,서울특별시 강동구 올림픽로 지하550 (성내동)
2730,뚝섬유원지,S1107,서울 도시철도 7호선,37.53125616,127.0666673,서울특별시 광진구 능동로 10 (자양동)
200,까치산,S1102,서울 도시철도 2호선,37.53168373,126.8467432,서울특별시 강서구 강서로 지하54(화곡동)
2519,까치산,S1105,서울 도시철도 5호선,37.53168373,126.8467432,서울특별시 강서구 강서로 지하54(화곡동)
237,당산,S1102,서울 도시철도 2호선,37.53425753,126.9024241,서울특별시 영등포구 당산로 229 (당산동 6가)
2631,이태원,S1106,서울 도시철도 6호선,37.53449861,126.994038,서울특별시 용산구 이태원로 지하177(이태원동)
2630,녹사평,S1106,서울 도시철도 6호선,37.53464201,126.9867518,서울특별시 용산구 녹사평대로 지하195 (용산동4가)
2629,삼각지,S1106,서울 도시철도 6호선,37.53471155,126.9733777,서울특별시 용산구 한강대로 지하 180 (한강로1가)
428,삼각지,S1104,서울 도시철도 4호선,37.53475857,126.9734308,서울특별시 용산구 한강대로 지하 180 (한강로1가)
214,강변,S1102,서울 도시철도 2호선,37.53487706,127.0946944,서울특별시 광진구 강변역로 53 (구의동)
2549,강동,S1105,서울 도시철도 5호선,37.53587886,127.132079,서울특별시 강동구 천호대로 지하1097 (천호동)
213,구의,S1102,서울 도시철도 2호선,37.53691864,127.0857297,서울특별시 광진구 아차산로 384-1 (구의동)
2550,길동,S1105,서울 도시철도 5호선,37.53794494,127.1400433,서울특별시 강동구 양재대로 지하1480 (길동)
3115,경인교대입구,S2801,인천지하철 1호선,37.538272,126.722603,인천광역시 계양구 계양대로 162
2548,천호,S1105,서울 도시철도 5호선,37.53842355,127.1236234,서울특별시 강동구 천호대로 지하997 (천호동)
2812,천호,S1108,서울 도시철도 8호선,37.53842355,127.1236234,서울특별시 강동구 천호대로 지하997 (천호동)
311,효창공원앞역,k2031,경의중앙선,37.539289,126.961339,서울시 용산구 용문동 5-133
2628,효창공원앞,S1106,서울 도시철도 6호선,37.539542,126.961371,서울특별시 용산구 백범로 지하287 (효창동)
2529,마포,S1105,서울 도시철도 5호선,37.53956668,126.9457536,서울특별시 마포구 마포대로 지하33 (도화동)
2632,한강진,S1106,서울 도시철도 6호선,37.53974445,127.0014826,서울특별시 용산구 이태원로 지하287 (한남동)
558,하남검단산,S1105,서울 도시철도 5호선,37.53982608,127.2245235,경기도 하남시 대청로 지하100 (창우동)
114,옥수역,k0205,경의중앙선,37.540514,127.018698,서울시 성동구 동호로 지하21(옥수동)
134,남영역,k0201,경부선,37.540597,126.971171,서울시 용산구 한강대로 77길 25(갈월동)
212,건대입구,S1102,서울 도시철도 2호선,37.54060889,127.0700628,서울특별시 광진구 아차산로 243 (화양동)
2729,건대입구,S1107,서울 도시철도 7호선,37.54060889,127.0698628,서울특별시 광진구 능동로110(화양동6-3)
325,옥수,S1103,서울 도시철도 3호선,37.5414877,127.0177608,서울특별시 성동구 동호로 21 (옥수동) 옥수역
2518,화곡,S1105,서울 도시철도 5호선,37.54175707,126.8402952,서울특별시 강서구 화곡로 지하168 (화곡동)
557,하남시청역,S1105,서울 도시철도 5호선,37.54215108,127.2062388,경기도 하남시 하남대로 지하820 (신장동)
