공원명,소재지지번주소,위도,경도,공원면적
수서까치공원,서울특별시 강남구 수서동 736-1,,127.089183,1500.2
수서은행나무공원,서울특별시 강남구 수서동 707-1,37.49213676,127.0997523,1500.4
수서목련공원,서울특별시 강남구 수서동 712-1,37.491169,127.099314,1418.8
수서개나리공원,서울특별시 강남구 수서동 723-1,37.487518,127.096653,1500.1
아래반고개공원,서울특별시 강남구 세곡동 129-13 외 필지,37.463874,127.098339,863
윗반고개공원,서울특별시 강남구 세곡동 99-6 외 11필지,37.466333,127.104617,1250
은곡마을공원,서울특별시 강남구 세곡동 369-3,,127.096174,2686
쟁골공원,서울특별시 강남구 자곡동 233-2,,127.093319,468
못골공원,서울특별시 강남구 자곡동 447-23 외 1필지,37.473573,127.091406,749
윗방죽마을공원,서울특별시 강남구 율현동 308-29,37.470276,127.100111,935
아래방죽마을공원,서울특별시 강남구 율현동 194-1,37.473276,,386
충현공원,서울특별시 강남구 역삼동 666-2 외2필지,,127.027767,2721.8
세곡천공원,서울특별시 강남구 세곡동 522-1,37.462426,127.097552,2645.1
대왕공원,서울특별시 강남구 세곡동 526-2,37.474486,127.091064,2633.1
근린공원1호,서울특별시 강남구 세곡동 603,37.466445,127.095331,18856.7
근린공원2호,서울특별시 강남구 자곡동 625,37.469317,,5236.8
근린공원3호,서울특별시 강남구 자곡동 615,37.472608,127.093071,38003.6
근린공원4호,서울특별시 강남구 자곡동 608번지 외 1,37.474515,127.096381,24247.1
근린공원5호,서울특별시 강남구 자곡동 607,37.47330498,127.0997276,21560.9
근린공원6호,서울특별시 강남구 자곡동 647,37.472267,127.101805,19739.5
근린공원7호,서울특별시 강남구 자곡동 627번지 외 1,37.471058,127.092804,12093
수변공원1호,서울특별시 강남구 세곡동604-1 외,37.465664,127.097181,10399.2
수변공원2호,서울특별시 강남구 세곡동 537,37.465072,127.093755,3713.3
쉼표소공원,서울특별시 강남구 세곡동 549,37.467518,127.099851,1199.2
제12호 근린공원(새마을공원),경기도 용인시 수지구 풍덕천동 689번지 일원,37.328901,127.094701,15214
신리어린이공원,경기도 용인시 수지구 신봉동 881번지,37.322801,127.081501,1500
제17호 근린공원(신봉공원),경기도 용인시 수지구 성복동 735번지,37.318501,127.081101,58620
동천체육공원(60호),경기도 용인시 수지구 동천동 872번지,37.334901,127.096801,19512
제16호 근린공원(수지생태공원),경기도 용인시 수지구 신봉동 877번지,37.323701,127.084901,97838
제86호 어린이공원(한아름),경기도 용인시 기흥구 상하동 631번지,37.273601,127.136701,1592
생태마당근린공원,경기도 용인시 기흥구 보라동 619번지,37.248201,127.108401,87722
신봉4어린이공원,경기도 용인시 수지구 신봉동 984번지,37.327201,127.065201,1753
동백제5호 어린이공원(푸른내),경기도 용인시 기흥구 동백동 594번지,37.282901,127.163201,2960
동백제9호 어린이공원(해음),경기도 용인시 기흥구 중동 963번지,37.267101,127.158401,2144
