순번,학제,학교명,주소,X,Y
216,교육대학,전주교육대학교,"전라북도 전주시 완산구 서학로 50 (동서학동, 전주교육대학교)",127.1551691,35.8085387
217,교육대학,진주교육대학교,"경상남도 진주시 진양호로369번길 3 (신안동, 진주교육대학교)",128.0670234,35.1857808
218,교육대학,청주교육대학교,"충청북도 청주시 서원구 청남로 2065 (수곡동, 청주교육대학교)",127.4838013,36.6159082
219,교육대학,춘천교육대학교,"강원도 춘천시 공지로 126 (석사동, 춘천교육대학교)",127.7500045,37.8585727
220,방송통신대학,한국방송통신대학교,"서울특별시 종로구 대학로 86 (동숭동, 한국방송통신대학교)",127.0029683,37.578672
221,기술대학,정석대학,"서울특별시 강서구 하늘길 260 (공항동, 대한항공)",126.8144516,37.5490425
222,전문대학(2년제),강원도립대학교,"강원도 강릉시 주문진읍 연주로 270 (교항리, 강원도립대학)",128.8315374,37.8771027
223,전문대학(2년제),경남도립거창대학,"경상남도 거창군 거창읍 거창대학로 72 (대평리, 경남도립거창대학)",127.9124664,35.674587
224,전문대학(2년제),경남도립남해대학,"경상남도 남해군 남해읍 화전로78번길 30 (남변리, 경남도립남해대학)",127.8984705,34.8371258
225,전문대학(2년제),경북도립대학교,"경상북도 예천군 예천읍 도립대학길 114 (청복리, 경북도립대학교)",128.4554685,36.64166
226,전문대학(2년제),충북도립대학교,"충청북도 옥천군 옥천읍 대학길 15 (문정리, 충북도립대학교)",127.5733125,36.3005865
227,전문대학(3년제),충남도립대학교,"충청남도 청양군 청양읍 학사길 55 (벽천리, 충남도립대학교)",126.8024384,36.4368025
228,전문대학(3년제),한국복지대학교,"경기도 평택시 삼남로 283 (장안동, 국립한국재활복지대학)",127.0945733,37.0516465
229,전문대학(3년제),가톨릭상지대학교,"경상북도 안동시 상지길 45 (율세동, 가톨릭상지대학교)",128.7358037,36.5697936
230,전문대학(4년제),군산간호대학교,"전라북도 군산시 동개정길 7 (개정동, 군산간호대학교)",126.7604262,35.9713094
231,전문대학(3년제),거제대학교,"경상남도 거제시 마전1길 91 (장승포동, 거제대학)",128.7265397,34.8499719
232,전문대학(3년제),경남정보대학교,"부산광역시 사상구 주례로 45 (주례동, 경남정보대학)",129.011079,35.1466594
233,전문대학(2년제),호산대학교,"경상북도 경산시 하양읍 대경로105길 19 (부호리, 호산대학교)",128.7999223,35.901383
234,전문대학(3년제),경민대학교,"경기도 의정부시 서부로 545 (가능동, 경민대학)",127.0243497,37.7461621
235,전문대학(2년제),영남외국어대학,"경상북도 경산시 남천면 남천로 780-9 (협석리, 영남외국어대학)",128.7329898,35.7858473
236,전문대학(3년제),경북전문대학교,"경상북도 영주시 대학로 77 (휴천동, 경북전문대학교)",128.6168437,36.8059142
237,전문대학(3년제),경복대학교,"경기도 남양주시 진접읍 경복대로 425 (금곡리, 경복대학교)",127.2110124,37.7349631
238,전문대학(3년제),경인여자대학교,"인천광역시 계양구 계양산로 63 (계산동, 경인여자대학)",126.7227985,37.5483479
239,전문대학(2년제),서라벌대학교,"경상북도 경주시 태종로 516 (충효동, 서라벌대학)",129.1842242,35.8394544
240,전문대학(2년제),계명문화대학교,"대구광역시 달서구 달서대로 675 (신당동, 계명문화대학교)",128.4893043,35.8592281
241,전문대학(2년제),계원예술대학교,"경기도 의왕시 계원대학로 66 (내손동, 계원예술대학교)",126.9800009,37.3787671
242,전문대학(3년제),광양보건대학교,"전라남도 광양시 광양읍 대학로 85 (덕례리, 광양보건대학)",127.5679796,34.9542052
243,전문대학(3년제),광주보건대학교,"광주광역시 광산구 북문대로419번길 73 (신창동, 광주보건대학)",126.8457296,35.1909806
244,전문대학(2년제),구미대학교,"경상북도 구미시 야은로 37 (부곡동, 구미대학교)",128.2891432,36.1514136
245,전문대학(3년제),서해대학,"전라북도 군산시 서해대길 6 (오룡동, 서해대학)",126.7083915,35.9789889
246,전문대학(3년제),군장대학교,"전라북도 군산시 성산면 군장대길 13 (도암리, 군장대학)",126.7845489,36.0004143
247,전문대학(4년제),강동대학교,"충청북도 음성군 감곡면 대학길 278 (단평리, 강동대학교)",127.6481353,37.1422967
248,전문대학(3년제),고구려대학교,"전라남도 나주시 다시면 백호로 125 (복암리, 고구려대학)",126.6494927,35.0076149
249,전문대학(4년제),기독간호대학교,"광주광역시 남구 백서로70번길 6 (양림동, 기독간호대학)",126.9159652,35.1383759
