번호,사업장명,도로명전체주소,소재지면적,X,Y
3420,홈플러스 부산 연산점,"부산광역시 연제구 반송로 88 (연산동,외19필지)",20510,129.0893455,35.190951
3422,홈플러스 주식회사 아시아드점,부산광역시 연제구 종합운동장로 7 (거제동),32040,129.0620089,35.191266
3432,트레이더스 연산점,부산광역시 연제구 연산9동 좌수영로 241,16285.08,129.1119507,35.185094
3439,롯데쇼핑(주)롯데마트 노은점,대전광역시 유성구 북유성대로 206 (하기동),10119.72,127.3215222,36.3843649
3440,홈플러스(주)서대전점,대전광역시 유성구 대정로 23 (대정동),15013,127.3190279,36.3137204
3441,롯데쇼핑(주)롯데마트 대덕테크노밸리점,대전광역시 유성구 테크노중앙로 14 (관평동),18409.34,127.3869827,36.4269596
3442,홈플러스(주)유성점,대전광역시 유성구 한밭대로 502 (봉명동),21569.82,127.3541828,36.35841
3443,롯데쇼핑(주) 롯데마트 서대전점,대전광역시 유성구 유성대로 26-37 (원내동),16205.68,127.3248211,36.300514
3460,홈플러스 대구 수성점,대구광역시 수성구 동대구로 95 (두산동),7281,128.6230945,35.8387617
3470,(주)이마트 만촌점,대구광역시 수성구 동원로 136 (만촌동),10578.56,128.6369682,35.8711004
3487,홈플러스(주)  상인점,대구광역시 달서구 월배로 183 (상인동),12332,128.5332296,35.8181931
3488,홈플러스(주) 성서점,대구광역시 달서구 달구벌대로 1467 (용산동),18179,128.5274052,35.8494498
3490,(주)이마트 감삼점,대구광역시 달서구 와룡로 143 (감삼동),9013.42,128.5363568,35.8454804
3491,(주)이마트 성서점,대구광역시 달서구 이곡동로 24 (이곡동),10162.4,128.5101705,35.8533007
3515,(주)이마트 월배점,대구광역시 달서구 진천로 92 (대천동),16163.35,128.5236173,35.8171808
3519,(주)이마트 반야월점,대구광역시 동구 안심로 389-2 (신서동),16445.98,128.727404,35.8707851
3525,코스트코 홀세일 대구점,대구광역시 동구 첨단로 10,12921,128.73075,35.8770109
3551,홈플러스 주식회사 동촌점,대구광역시 동구 동촌로 127 (검사동),11787.54,128.6556957,35.8861146
3553,김포농협 농수축산물판매장,"경기도 김포시 홍도평로 20, 김포농협 농수축산물판매장 (걸포동)",7183.43,126.7130031,37.6315761
3562,롯데마트 터미널점,"충청남도 아산시 번영로 225, 아산시외버스터미널복합시설 (모종동)",0,127.0159492,36.7846987
3564,(주)이마트 용인점,경기도 용인시 처인구 명지로 53 (역북동),6252.59,127.1891524,37.2314721
3566,홈플러스(주)오산점,경기도 오산시 청학로 238 (수청동),19241.74,127.0617793,37.17014
3569,(주)이마트 죽전점,경기도 용인시 수지구 포은대로 552 (죽전동),13659.57,127.1099853,37.3253106
3573,이마트 의정부점,"경기도 의정부시 민락로 210 (민락동, 이마트)",13784.64,127.1023502,37.7431869
3577,홈플러스의정부점,경기도 의정부시 청사로 38 (금오동),32677.65,127.0709899,37.7521612
3580,롯데마트의정부점,경기도 의정부시 산단로76번길 116 (용현동),10990,127.0842348,37.7427862
3582,코스트코 홀세일 의정부점,경기도 의정부시 용민로489번길 9 (민락동),13503.11,127.1191719,37.7512788
3583,롯데마트장암점,경기도 의정부시 장곡로 224 (장암동),6406.64,127.0530484,37.7236995
3595,롯데쇼핑(주)롯데마트 경기양평점,경기도 양평군 남북로 76-0,6085.75,127.5026497,37.4894662
3618,(주)이마트평촌점,경기도 안양시 동안구 시민대로 300 (관양동),10130,126.9636774,37.3949164
3623,이마트 하남점,경기도 하남시 덕풍서로 70 (덕풍동),14148.62,127.2053884,37.5527531
3627,홈플러스 주식회사(계룡점),충청남도 계룡시 계룡대로 304 (금암동),7521,127.2571217,36.2739584
3632,롯데쇼핑(주)롯데마트 홍성점,충청남도 홍성군 홍성읍 조양로247번길 9,6086,126.6760931,36.6009127
3633,이마트 서북점,충청남도 천안시 서북구 삼성대로 20 (백석동),14805.79,127.1223394,36.8385645
3634,이마트  천안터미널점,충청남도 천안시 동남구 만남로 43 (신부동),6138.86,127.1562342,36.8199576
3636,홈플러스 천안점,"충청남도 천안시 동남구 천안대로 574, 홈플러스 (구성동)",10350,127.1653479,36.7992141
3638,롯데쇼핑(주)롯데마트성정점,충청남도 천안시 서북구 성정두정로 1 (성정동),12126.78,127.1400902,36.8262763
3640,이마트 천안점,"충청남도 천안시 서북구 충무로 187, E 마트 (쌍용동)",11786,127.1270842,36.7959206
3648,롯데쇼핑(주)롯데마트천안점,충청남도 천안시 서북구 월봉로 95 (쌍용동),1023.7,127.1173987,36.8001927
3649,코스트코 홀세일 천안점,충청남도 천안시 서북구 3공단6로 77 (차암동),13610,127.1054066,36.8427278
3650,이마트 펜타포트점,충청남도 천안시 서북구 공원로 196 (불당동),10590,127.1015944,36.7986235
3672,홈플러스(주) 전주효자점,전라북도 전주시 완산구 용머리로 31 (효자동1가),22657,127.1141627,35.806558
3676,(주)이마트 전주점,전라북도 전주시 완산구 당산로 111 (서신동),6571.04,127.1204593,35.8325619
