시장명,최종주소,X,Y,점포수,bus_st_num_500m,bus_st_num_1k,Ur_rail_num_500m,Ur_rail_num_1k,Bus_te_num_2k ,Bus_te_num_3k,Bus_te_num_2_3k,spot_num_3k,spot_num_5k,spot_num_3_5k,univ_num_1k,parking_num_500m,parking_car_num_500m,점포당 주차구획수,mart_num_1.5k,Mart_num_bool,ur_park_num_165m,cull_hall_num_3k,cul_hall_num_5k,stor_cnt,residnt_cnt_sum,mkt_cnt_sum,stor_cnt_sum,person_mkt_cnt
옥포국제시장,경상남도 거제시 옥포대첩로3길 8,128.6892245,34.893973,56,26,53,0,0,0,0,0,2,5,3,0,7,242,4,1,1,2,0,1,61,245956,10,731,336
옥포중앙시장,경상남도 거제시 옥포로 215,128.690635,34.8938658,40,26,54,0,0,0,0,0,2,5,3,0,10,295,7,1,1,1,0,1,29,245956,10,731,336
옥현상가,경상남도 거제시 옥포로 250,128.6900911,34.8968527,100,28,53,0,0,0,0,0,3,5,2,0,5,206,2,1,1,1,0,1,70,245956,10,731,336
온양온천시장(온양전통시장),충청남도 아산시 시장길 29,127.0042375,36.7832856,441,24,77,1,1,1,1,0,2,2,0,0,0,0,0,2,1,0,1,1,441,315279,5,1204,262
온천로터리종합시장,부산광역시 동래구 명륜동 260,129.0843329,35.2062293,15,12,57,1,6,0,0,0,10,11,1,0,0,0,0,2,1,0,1,2,15,271187,28,2517,108
온천인정시장,부산광역시 동래구 온천장로119번길 44-10,129.0829522,35.222169,129,29,69,1,1,0,0,0,10,14,4,0,0,0,0,2,1,0,2,2,128,271187,28,2517,108
와룡시장,대구광역시 달서구 신당동 1763-9,128.4995487,35.8561214,143,40,120,0,2,0,0,0,0,0,0,1,9,508,4,1,1,1,1,3,147,560354,70,5484,102
완도중앙시장,전라남도 완도군 완도읍 장보고대로 282-1,126.7553673,34.3143422,17,0,0,0,0,1,1,0,0,0,0,0,21,706,42,0,0,0,1,1,0,49975,7,17,2940
완사시장,경상남도 사천시 곤명면 완사2길12,127.9762773,35.1310256,44,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,111234,8,1113,100
왜관시장,경상북도 칠곡군 왜관읍 시장2길 9,128.3981981,35.995384,122,5,34,0,0,1,1,0,3,4,1,0,3,116,1,0,0,0,1,1,120,114951,4,378,304
외동시장,경상북도 경주시 외동읍 입실시장길 8-6,129.3256887,35.7146203,138,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,253468,31,6195,41
외동전통시장,경상남도 김해시 내외중앙로 33,128.8660009,35.2328933,123,23,74,0,6,1,1,0,4,7,3,0,0,0,0,1,1,1,1,1,151,542350,12,1232,440
용궁시장,경상북도 예천군 용궁면 용궁시장길 9,128.2753641,36.607065,29,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,55558,1,76,731
용남시장,전라북도 남원시 동헌길10,127.3771606,35.407475,106,15,39,0,0,1,1,0,1,1,0,0,0,0,0,2,1,0,1,1,87,80784,6,506,160
용답상가시장,서울특별시 성동구 용답25라길 23,127.0530196,37.5635232,203,17,56,2,4,0,0,0,0,1,1,2,2,166,1,1,1,0,2,4,167,294272,8,3240,91
용두전통시장,대전광역시 중구 용두동 12-2,127.4146469,36.3234106,26,31,128,2,2,0,1,1,3,7,4,0,13,379,15,3,1,0,1,1,51,236492,21,2660,89
용문천년시장,경기도 양평군 용문면 용문시장2길 11,127.5947512,37.483961,129,8,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,118778,4,1634,73
용산용문전통시장,서울특별시 용산구 효창원로40길 13(용문동),126.9597957,37.5366355,151,39,112,2,4,0,0,0,0,1,1,0,5,474,3,2,1,0,2,4,151,230151,13,960,240
용산종합큰시장,대구광역시 달서구 달구벌대로 301길 187-11,128.5311713,35.8580588,44,26,111,0,0,0,0,0,0,2,2,0,14,667,15,2,1,0,3,3,60,560354,70,5484,102
용상공설시장,경상북도 안동시 경동로 862,128.7501833,36.5594483,69,10,25,0,0,1,1,0,1,1,0,0,4,266,4,0,0,0,1,1,62,158803,22,2003,79
용운시장,대전광역시 동구 용운동 305-14,127.4605806,36.3278085,37,20,75,0,0,0,0,0,1,4,3,1,5,131,4,0,0,0,0,1,80,222446,33,3884,57
용인중앙시장,경기도 용인시 처인구 금령로107번길 13,127.2079177,37.2366903,445,32,80,1,2,1,1,0,0,0,0,0,9,1253,3,0,0,0,2,2,535,258079,1,535,482
용현시장,인천광역시 미추홀구 용삼길 13,126.650379,37.4575576,238,14,80,0,0,0,0,0,0,3,3,0,12,365,2,2,1,0,1,3,274,402392,20,2973,135
용호1동골목시장,부산광역시 남구 용호로106번길 56,129.1102028,35.1243388,150,0,0,0,0,0,0,0,1,3,2,1,3,42,0,1,1,0,2,3,150,268249,23,2012,133
용호골목시장,부산광역시 남구 용호로 177번길5,129.111466,35.116377,113,0,0,0,0,0,0,0,1,2,1,0,12,198,2,0,0,0,2,3,116,268249,23,2012,133
용호삼성시장,부산광역시 남구 용호로 106번길 40,129.1105478,35.1238939,26,0,0,0,0,0,0,0,1,3,2,1,4,55,2,1,1,0,2,3,37,268249,23,2012,133
용호시장,부산광역시 남구 동명로 152번길 93,129.1127735,35.1149137,65,0,0,0,0,0,0,0,1,2,1,0,7,134,2,0,0,0,2,2,103,268249,23,2012,133
우동종합상가시장,부산광역시 해운대구 해운대로383번길 37-10,129.1388577,35.1706833,51,2,10,3,6,0,0,0,3,5,2,0,0,0,0,1,1,0,1,2,50,402518,23,1980,203
우림골목시장,서울특별시중랑구망우로62길52-4(망우동),127.0982909,37.5968197,130,26,77,0,1,1,1,0,4,6,2,0,0,0,0,2,1,0,1,1,184,395194,23,2040,194
우림시장,서울특별시 관악구 난곡로 26길 19,126.9210443,37.4704577,24,15,72,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,4,24,496059,29,1559,318
우산매일시장,광주광역시 광산구 우산동 1612- 1,126.8040683,35.1619398,42,12,33,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,2,48,406126,15,1464,277
우성상가시장,서울특별시 양천구 지양로 78,126.8335918,37.5226617,9,19,67,0,0,0,0,0,0,0,0,0,1,250,28,0,0,1,1,1,21,455058,21,1359,335
우신종합상가,부산광역시 사상구 백양대로 880,128.9919513,35.1837746,152,13,32,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,169,213178,33,11709,18
우암골목시장,부산광역시 남구 장고개로 9-1,129.0709276,35.1261614,70,0,0,0,0,0,0,0,3,19,16,0,1,66,1,1,1,0,3,4,100,268249,23,2012,133
우이시장,서울특별시 강북구 노해로 23길 68,127.0199841,37.6460135,8,29,103,0,0,0,0,0,0,0,0,1,1,62,8,0,0,2,2,2,13,308569,25,1588,194
우정전통시장,울산광역시 중구 당산3길 31,129.3103705,35.554935,103,27,86,0,0,0,0,0,0,0,0,0,5,335,3,0,0,4,2,2,75,218096,36,4106,53
운수대통 생거진천전통시장,충청북도 진천군 진천읍 원덕로390,127.4512102,36.8601919,73,5,30,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,73,83621,3,208,402
운암시장,광주광역시 북구 대자로 87,126.8820076,35.1733655,101,9,41,0,0,1,1,0,0,0,0,0,3,127,1,0,0,2,2,3,54,431256,13,1281,337
운천전통시장,경기도 포천시 영북면 영북로 177번길 25,127.2719872,38.0898998,54,15,22,0,0,1,1,0,0,1,1,0,1,25,0,1,1,0,0,0,80,147477,10,564,261
울산번개시장,울산광역시 남구 신선로184번길 46-1(야음동),129.3367725,35.5202515,123,21,45,0,0,1,1,0,0,0,0,0,2,201,2,1,1,0,1,1,106,320716,18,2370,135
울산산업공구월드,울산광역시 남구 갈밭로 24(삼산동),129.3432158,35.5357634,292,27,63,0,0,1,1,0,0,0,0,0,4,427,1,1,1,2,1,2,286,320716,18,2370,135
울산시장,울산광역시 중구 구교로 35,129.3284126,35.5554947,353,29,80,0,0,0,1,1,0,0,0,0,4,191,1,1,1,0,2,3,297,218096,36,4106,53
울진시장,경상북도 울진군 울진읍 읍내2길 13-6,129.4020713,36.9916251,252,0,0,0,0,0,0,0,0,1,1,0,7,805,3,0,0,0,0,0,150,48743,14,666,73
웃장,전라남도 순천시 북문길 40,127.4851756,34.9588405,158,52,128,0,0,1,1,0,2,5,3,0,5,134,1,0,0,1,1,1,157,282618,17,1197,236
웅천시장,충청남도 보령시 웅천읍 장터4길 24,126.6012763,36.2329576,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,96,100249,12,1425,70
원고개시장,대구광역시 서구 통학로46길 48,128.5682992,35.8802867,127,30,122,0,2,1,1,0,4,7,3,0,9,257,2,0,0,0,3,5,130,171060,28,3962,43
원당전통시장,경기도 고양시 덕양구 성사동 697-14,126.8372617,37.6562835,68,69,148,0,1,0,2,2,0,0,0,0,1,10,0,0,0,0,2,2,59,476341,2,137,3477
원대신시장,대구광역시 서구 달서로 54길 6,128.5746942,35.885538,51,41,141,1,3,1,1,0,6,7,1,0,7,240,5,2,1,1,2,5,56,171060,28,3962,43
원마루시장,충청북도 청주시 서원구 원마루로8번길 21,127.4964116,36.6090318,120,16,72,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,103,195804,8,660,297
원미부흥시장,경기도 부천시 원미동 118-18,126.7899638,37.4922095,60,58,179,0,0,0,1,1,0,0,0,0,3,201,3,0,0,0,1,2,63,819990,19,1910,429
원미종합시장,경기도 부천시 조종로 49번길 21-3,126.7901776,37.4936804,105,58,170,0,0,0,1,1,0,0,0,0,4,419,4,0,0,0,1,2,106,819990,19,1910,429
원종종합시장,경기도 부천시 삼작로 394,126.8055719,37.5197146,52,35,145,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,51,819990,19,1910,429
원종중앙시장,경기도 부천시 성오로 124번길 47,126.802319,37.5250608,62,45,152,0,0,0,0,0,0,0,0,0,1,82,1,1,1,0,0,1,70,819990,19,1910,429
원주남부시장,강원도 원주시 치악로 1803,127.9543698,37.3430578,145,16,56,0,0,0,0,0,0,0,0,0,3,99,1,0,0,0,1,2,164,353928,8,1329,266
원통시장,강원도 인제군 북면 원통로 178번길 7-1,128.2046115,38.1225652,63,4,6,0,0,0,0,0,0,0,0,0,5,332,5,0,0,0,0,0,58,31623,3,185,171
원평공설시장(김제원평시장),전라북도 김제시 금산면 원평6길 39-10,126.9947466,35.7140373,33,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,82623,4,230,359
월곡시장,광주광역시 광산구 월곡동 687-3,126.8096626,35.1712249,45,12,41,0,0,0,0,0,0,0,0,0,1,88,2,3,1,2,0,2,67,406126,15,1464,277
